1101	1001	1002
1102	1002	1003
1103	1003	1004
1104	1004	1005
1105	1005	1006
1106	1006	1007
1107	1007	1008
1108	1008	1009
1109	1009	1010
1110	1010	1011
1111	1011	1012
1112	1012	1013
1113	1013	1014
1114	1014	1015
1115	1015	1016
1116	1016	1017
1117	1017	1018
1118	1018	1019
1119	1019	1020
1120	1020	1021
1121	1021	1022
1122	1022	1023
1123	1023	1024
1124	1024	1025
1125	1025	1026
1126	1026	1027
1127	1027	1028
1128	1028	1029
1129	1029	1030
1130	1030	1031
1131	1031	1032
1132	1032	1033
1133	1033	1034
1134	1034	1035
1135	1035	1036
1136	1036	1037
1137	1037	1038
1138	1038	1039
1139	1039	1040
2201	2001	2002
2202	2002	2003
2203	2003	2004
2204	2004	2005
2205	2005	2006
2206	2006	2007
2207	2007	2008
2208	2008	2009
2209	2009	2010
2210	2010	2011
2211	2011	2012
2212	2012	2013
2213	2013	2014
2214	2014	2015
2215	2015	2016
2216	2016	2017
2217	2017	2018
2218	2018	2019
2219	2019	2020
2220	2020	2021
2221	2021	2022
2222	2022	2023
2223	2023	2024
2224	2024	2025
2225	2025	2026
2226	2026	2027
2227	2027	2028
2228	2028	2029
2229	2029	2030
2230	2030	2031
2231	2031	2032
2232	2032	2033
2233	2033	2034
2234	2034	2035
2235	2035	2036
2236	2036	2037
2237	2037	2038
2238	2038	2039
2239	2039	2040
3301	3001	3002
3302	3002	3003
3303	3003	3004
3304	3004	3005
3305	3005	3006
3306	3006	3007
3307	3007	3008
3308	3008	3009
3309	3009	3010
3310	3010	3011
3311	3011	3012
3312	3012	3013
3313	3013	3014
3314	3014	3015
3315	3015	3016
3316	3016	3017
3317	3017	3018
3318	3018	3019
3319	3019	3020
3320	3020	3021
3321	3021	3022
3322	3022	3023
3323	3023	3024
3324	3024	3025
3325	3025	3026
3326	3026	3027
3327	3027	3028
3328	3028	3029
3329	3029	3030
3330	3030	3031
3331	3031	3032
3332	3032	3033
3333	3033	3034
3334	3034	3035
3335	3035	3036
3336	3036	3037
3337	3037	3038
3338	3038	3039
3339	3039	3040
4401	4001	4002
4402	4002	4003
4403	4003	4004
4404	4004	4005
4405	4005	4006
4406	4006	4007
4407	4007	4008
4408	4008	4009
4409	4009	4010
4410	4010	4011
4411	4011	4012
4412	4012	4013
4413	4013	4014
4414	4014	4015
4415	4015	4016
4416	4016	4017
4417	4017	4018
4418	4018	4019
4419	4019	4020
4420	4020	4021
4421	4021	4022
4422	4022	4023
4423	4023	4024
4424	4024	4025
4425	4025	4026
4426	4026	4027
4427	4027	4028
4428	4028	4029
4429	4029	4030
4430	4030	4031
4431	4031	4032
4432	4032	4033
4433	4033	4034
4434	4034	4035
4435	4035	4036
4436	4036	4037
4437	4037	4038
4438	4038	4039
4439	4039	4040
