1001	0	0	2.16	2.613805088
1002	0	0.5	2.16	2.613805088
1003	0	1	2.16	2.613805088
1004	0	1.5	2.16	2.613805088
1005	0	2	2.16	2.613805088
1006	0	2.5	2.16	2.613805088
1007	0	3	2.16	2.613805088
1008	0	3.5	2.16	2.613805088
1009	0	4	2.16	2.613805088
1010	0	4.5	2.16	2.613805088
1011	0	5	2.16	2.613805088
1012	0	5.5	2.16	2.613805088
1013	0	6	2.16	2.613805088
1014	0	6.5	2.16	2.613805088
1015	0	7	2.16	2.613805088
1016	0	7.5	2.16	2.613805088
1017	0	8	2.16	2.613805088
1018	0	8.5	2.16	2.613805088
1019	0	9	2.16	2.613805088
1020	0	9.5	2.16	2.613805088
1021	0	10	2.16	2.613805088
1022	0	10.5	2.16	2.613805088
1023	0	11	2.16	2.613805088
1024	0	11.5	2.16	2.613805088
1025	0	12	2.16	2.613805088
1026	0	12.5	2.16	2.613805088
1027	0	13	2.16	2.613805088
1028	0	13.5	2.16	2.613805088
1029	0	14	2.16	2.613805088
1030	0	14.5	2.16	2.613805088
1031	0	15	2.16	2.613805088
1032	0	15.5	2.16	2.613805088
1033	0	16	2.16	2.613805088
1034	0	16.5	2.16	2.613805088
1035	0	17	2.16	2.613805088
1036	0	17.5	2.16	2.613805088
1037	0	18	2.16	2.613805088
1038	0	18.5	2.16	2.613805088
1039	0	19	2.16	2.613805088
1040	0	19.5	2.16	2.613805088
2001	0	0	-2.16	2.613805088
2002	0	0.5	-2.16	2.613805088
2003	0	1	-2.16	2.613805088
2004	0	1.5	-2.16	2.613805088
2005	0	2	-2.16	2.613805088
2006	0	2.5	-2.16	2.613805088
2007	0	3	-2.16	2.613805088
2008	0	3.5	-2.16	2.613805088
2009	0	4	-2.16	2.613805088
2010	0	4.5	-2.16	2.613805088
2011	0	5	-2.16	2.613805088
2012	0	5.5	-2.16	2.613805088
2013	0	6	-2.16	2.613805088
2014	0	6.5	-2.16	2.613805088
2015	0	7	-2.16	2.613805088
2016	0	7.5	-2.16	2.613805088
2017	0	8	-2.16	2.613805088
2018	0	8.5	-2.16	2.613805088
2019	0	9	-2.16	2.613805088
2020	0	9.5	-2.16	2.613805088
2021	0	10	-2.16	2.613805088
2022	0	10.5	-2.16	2.613805088
2023	0	11	-2.16	2.613805088
2024	0	11.5	-2.16	2.613805088
2025	0	12	-2.16	2.613805088
2026	0	12.5	-2.16	2.613805088
2027	0	13	-2.16	2.613805088
2028	0	13.5	-2.16	2.613805088
2029	0	14	-2.16	2.613805088
2030	0	14.5	-2.16	2.613805088
2031	0	15	-2.16	2.613805088
2032	0	15.5	-2.16	2.613805088
2033	0	16	-2.16	2.613805088
2034	0	16.5	-2.16	2.613805088
2035	0	17	-2.16	2.613805088
2036	0	17.5	-2.16	2.613805088
2037	0	18	-2.16	2.613805088
2038	0	18.5	-2.16	2.613805088
2039	0	19	-2.16	2.613805088
2040	0	19.5	-2.16	2.613805088
3001	4.32	0	2.16	2.613805088
3002	4.32	0.5	2.16	2.613805088
3003	4.32	1	2.16	2.613805088
3004	4.32	1.5	2.16	2.613805088
3005	4.32	2	2.16	2.613805088
3006	4.32	2.5	2.16	2.613805088
3007	4.32	3	2.16	2.613805088
3008	4.32	3.5	2.16	2.613805088
3009	4.32	4	2.16	2.613805088
3010	4.32	4.5	2.16	2.613805088
3011	4.32	5	2.16	2.613805088
3012	4.32	5.5	2.16	2.613805088
3013	4.32	6	2.16	2.613805088
3014	4.32	6.5	2.16	2.613805088
