17	10002
16.5	10003
16	10004
15.5	10005
15	10006
14.5	10007
14	10008
13.5	10009
13	10010
12.5	10011
12	10012
11.5	10013
11	10014
10.5	10015
10	10016
9.5	10017
9	10018
8.5	10019
8	10020
7.5	10021
7	10022
6.5	10023
6	10024
5.5	10025
5	10026
4.5	10027
4	10028
3.5	10029
3	10030
2.5	10031
2	10032
1.5	10033
1	10034
0.5	10035
0	10036
