17	11002	33002	66002
16.5	11003	33003	66003
16	11004	33004	66004
15.5	11005	33005	66005
15	11006	33006	66006
14.5	11007	33007	66007
14	11008	33008	66008
13.5	11009	33009	66009
13	11010	33010	66010
12.5	11011	33011	66011
12	11012	33012	66012
11.5	11013	33013	66013
11	11014	33014	66014
10.5	11015	33015	66015
10	11016	33016	66016
9.5	11017	33017	66017
9	11018	33018	66018
8.5	11019	33019	66019
8	11020	33020	66020
7.5	11021	33021	66021
7	11022	33022	66022
6.5	11023	33023	66023
6	11024	33024	66024
5.5	11025	33025	66025
5	11026	33026	66026
4.5	11027	33027	66027
4	11028	33028	66028
3.5	11029	33029	66029
3	11030	33030	66030
2.5	11031	33031	66031
2	11032	33032	66032
1.5	11033	33033	66033
1	11034	33034	66034
0.5	11035	33035	66035
0	11036	33036	66036
