10001	1100001	1001	10001
10002	1100002	1002	10002
10003	1100003	1003	10003
10004	1100004	1004	10004
10005	1100005	1005	10005
10006	1100006	1006	10006
10007	1100007	1007	10007
10008	1100008	1008	10008
10009	1100009	1009	10009
10010	1100010	1010	10010
10011	1100011	1011	10011
10012	1100012	1012	10012
10013	1100013	1013	10013
10014	1100014	1014	10014
10015	1100015	1015	10015
10016	1100016	1016	10016
10017	1100017	1017	10017
10018	1100018	1018	10018
10019	1100019	1019	10019
10020	1100020	1020	10020
10021	1100021	1021	10021
10022	1100022	1022	10022
10023	1100023	1023	10023
10024	1100024	1024	10024
10025	1100025	1025	10025
10026	1100026	1026	10026
10027	1100027	1027	10027
10028	1100028	1028	10028
10029	1100029	1029	10029
10030	1100030	1030	10030
10031	1100031	1031	10031
10032	1100032	1032	10032
10033	1100033	1033	10033
10034	1100034	1034	10034
10035	1100035	1035	10035
10036	1100036	1036	10036
20001	2200001	2001	10001
20002	2200002	2002	10002
20003	2200003	2003	10003
20004	2200004	2004	10004
20005	2200005	2005	10005
20006	2200006	2006	10006
20007	2200007	2007	10007
20008	2200008	2008	10008
20009	2200009	2009	10009
20010	2200010	2010	10010
20011	2200011	2011	10011
20012	2200012	2012	10012
20013	2200013	2013	10013
20014	2200014	2014	10014
20015	2200015	2015	10015
20016	2200016	2016	10016
20017	2200017	2017	10017
20018	2200018	2018	10018
20019	2200019	2019	10019
20020	2200020	2020	10020
20021	2200021	2021	10021
20022	2200022	2022	10022
20023	2200023	2023	10023
20024	2200024	2024	10024
20025	2200025	2025	10025
20026	2200026	2026	10026
20027	2200027	2027	10027
20028	2200028	2028	10028
20029	2200029	2029	10029
20030	2200030	2030	10030
20031	2200031	2031	10031
20032	2200032	2032	10032
20033	2200033	2033	10033
20034	2200034	2034	10034
20035	2200035	2035	10035
20036	2200036	2036	10036
30001	3300001	3001	10001
30002	3300002	3002	10002
30003	3300003	3003	10003
30004	3300004	3004	10004
30005	3300005	3005	10005
30006	3300006	3006	10006
30007	3300007	3007	10007
30008	3300008	3008	10008
30009	3300009	3009	10009
30010	3300010	3010	10010
30011	3300011	3011	10011
30012	3300012	3012	10012
30013	3300013	3013	10013
30014	3300014	3014	10014
30015	3300015	3015	10015
30016	3300016	3016	10016
30017	3300017	3017	10017
30018	3300018	3018	10018
30019	3300019	3019	10019
30020	3300020	3020	10020
30021	3300021	3021	10021
30022	3300022	3022	10022
30023	3300023	3023	10023
30024	3300024	3024	10024
30025	3300025	3025	10025
30026	3300026	3026	10026
30027	3300027	3027	10027
30028	3300028	3028	10028
30029	3300029	3029	10029
30030	3300030	3030	10030
30031	3300031	3031	10031
30032	3300032	3032	10032
30033	3300033	3033	10033
30034	3300034	3034	10034
30035	3300035	3035	10035
30036	3300036	3036	10036
40001	4400001	4001	10001
40002	4400002	4002	10002
40003	4400003	4003	10003
40004	4400004	4004	10004
40005	4400005	4005	10005
40006	4400006	4006	10006
40007	4400007	4007	10007
40008	4400008	4008	10008
40009	4400009	4009	10009
40010	4400010	4010	10010
40011	4400011	4011	10011
40012	4400012	4012	10012
40013	4400013	4013	10013
40014	4400014	4014	10014
40015	4400015	4015	10015
40016	4400016	4016	10016
40017	4400017	4017	10017
40018	4400018	4018	10018
40019	4400019	4019	10019
40020	4400020	4020	10020
40021	4400021	4021	10021
40022	4400022	4022	10022
40023	4400023	4023	10023
40024	4400024	4024	10024
40025	4400025	4025	10025
40026	4400026	4026	10026
40027	4400027	4027	10027
40028	4400028	4028	10028
40029	4400029	4029	10029
40030	4400030	4030	10030
40031	4400031	4031	10031
40032	4400032	4032	10032
40033	4400033	4033	10033
40034	4400034	4034	10034
40035	4400035	4035	10035
40036	4400036	4036	10036
